income_declared,work_expense_claim,travel_expense_claim,education_expense,other_deductions,total_deductions,deduction_income_ratio,prior_year_income_delta,prior_year_deduction_delta,refund_requested,filing_method,industry_code,num_dependents,fraud_label
105900,12970,4180,430,4740,22320,0.2108,0.1037,-0.1801,6700,tax_agent,manufacturing,0,0
44200,4190,10860,340,690,16080,0.3638,0.0189,-0.2063,2520,self,retail,1,1
32200,3630,1230,1160,790,6810,0.2115,-0.0078,-0.2368,1490,tax_agent,education,3,0
120800,27610,2450,1670,720,32450,0.2686,-0.0605,0.0309,14300,self,IT,0,0
90000,18290,2620,4050,460,25420,0.2824,0.0726,-0.0008,9210,tax_agent,IT,0,0
94400,17790,2820,3020,1710,25340,0.2684,0.0426,-0.092,9090,tax_agent,IT,2,0
181500,11930,6750,6620,8780,34080,0.1878,-0.0235,-0.0837,21380,tax_agent,retail,1,0
29700,8480,3000,560,1280,13320,0.4485,0.1763,-0.0143,2790,self,construction,3,0
194100,34210,6360,3620,6720,50910,0.2623,0.102,0.0388,26700,tax_agent,healthcare,1,0
52900,9860,730,2630,910,14130,0.2671,0.0553,0.0272,5260,self,healthcare,4,0
113300,23100,4360,2080,1450,30990,0.2735,0.1821,0.0327,9240,self,healthcare,1,0
71500,32920,2660,200,2080,37860,0.5295,0.0237,0.6429,11320,self,real_estate,0,1
59500,14450,6660,800,1820,23730,0.3988,-0.1663,-0.0268,6380,self,construction,2,0
31400,6440,390,1260,1170,9260,0.2949,0.0603,-0.0343,1230,self,IT,0,0
49700,6860,120,110,1000,8090,0.1628,0.1908,-0.0561,3380,tax_agent,manufacturing,1,0
93100,9110,3490,740,2420,15760,0.1693,-0.1137,0.2115,6840,self,retail,2,0
87500,8310,320,3500,3460,15590,0.1782,0.2444,0.238,2400,tax_agent,finance,3,0
121500,38910,6600,3430,670,49610,0.4083,-0.0125,-0.0611,16250,self,transport,1,0
49200,4970,210,2630,680,8490,0.1726,0.1496,-0.0387,3330,tax_agent,retail,4,0
108600,12320,1080,4510,160,18070,0.1664,0.0372,-0.0546,5340,tax_agent,finance,1,0
74700,7170,2780,1330,190,11470,0.1535,0.2007,0.1455,3200,tax_agent,hospitality,2,0
102000,27500,13990,3780,680,45950,0.4505,0.1576,0.043,12610,tax_agent,transport,3,0
95500,7650,2100,5240,1170,16160,0.1692,0.0317,-0.0447,6990,self,hospitality,0,0
55600,8770,1590,2820,2030,15210,0.2736,0.0969,-0.2419,6640,self,manufacturing,0,0
82700,11030,1990,3700,1290,18010,0.2178,0.0121,0.0406,5790,self,retail,2,0
92800,32060,12170,11230,3710,59170,0.6376,-0.0675,0.0644,16550,tax_agent,transport,3,1
111000,21330,70,5220,2320,28940,0.2607,0.038,-0.0389,6570,tax_agent,IT,0,0
164800,35350,5060,8520,400,49330,0.2993,0.0124,0.0641,19590,tax_agent,IT,0,0
50800,19100,7070,690,2120,28980,0.5705,-0.0722,0.2459,10590,tax_agent,transport,0,0
37900,9050,3330,2210,620,15210,0.4013,-0.0178,0.1012,2920,tax_agent,transport,1,0
146100,45190,16610,24150,5710,91660,0.6274,0.0551,0.0107,29820,self,real_estate,1,1
35500,15080,4310,4220,980,24590,0.6927,0.2469,0.6019,5090,tax_agent,retail,0,1
127100,31200,1710,5950,230,39090,0.3076,0.0407,0.1231,12900,tax_agent,IT,1,0
43700,10190,1560,220,1930,13900,0.3181,-0.0785,-0.0136,2990,tax_agent,education,0,0
50900,9680,1440,2280,1040,14440,0.2837,-0.0099,0.1106,3990,self,IT,4,0
68900,18380,9460,4040,130,32010,0.4646,0.0335,-0.0115,8380,self,transport,0,0
32400,2210,930,270,1370,4780,0.1475,0.0648,-0.2758,840,tax_agent,hospitality,1,0
42200,5890,1020,760,380,8050,0.1908,0.0759,0.0277,1020,self,retail,0,0
28700,2810,10,1520,830,5170,0.1801,0.1757,0.1497,580,self,finance,4,0
104000,10830,580,3770,4380,19560,0.1881,0.0124,0.0756,6310,self,retail,2,0
71500,12760,2270,2320,1830,19180,0.2683,-0.0049,0.1472,5560,self,healthcare,3,0
72600,16540,190,3980,10,20720,0.2854,0.1816,0.0155,5930,tax_agent,education,0,0
69600,12960,2430,1400,630,17420,0.2503,0.0915,0.0807,5550,tax_agent,real_estate,1,0
71300,6210,550,1250,2160,10170,0.1426,0.0954,-0.0787,1510,self,retail,0,0
55200,8070,1750,3250,1010,14080,0.2551,0.2033,0.0332,6020,tax_agent,manufacturing,4,0
121800,14360,4110,3100,510,22080,0.1813,0.2651,0.0037,12570,self,education,3,0
27300,7480,1810,490,640,10420,0.3817,-0.0325,0.0482,2330,self,transport,1,0
32600,8600,330,740,1560,11230,0.3445,-0.1018,0.0295,2180,self,IT,0,0
152000,47310,19250,7290,4520,78370,0.5156,-0.1514,-0.0199,27640,self,transport,3,1
83400,15110,1260,1870,2460,20700,0.2482,-0.0992,0.116,8990,tax_agent,IT,1,0
23600,6690,2630,470,570,10360,0.439,0.0261,0.2804,1740,tax_agent,transport,3,0
85800,14300,8090,4210,230,26830,0.3127,0.0133,-0.0887,8060,tax_agent,real_estate,0,0
30000,7250,1190,370,1480,10290,0.343,0.0464,0.1431,1690,tax_agent,IT,3,0
147200,36280,11950,4320,900,53450,0.3631,-0.0062,-0.0414,14560,self,construction,0,0
119400,20720,3570,4220,5660,34170,0.2862,0.0932,-0.0137,13690,self,education,2,0
228200,84070,28460,10690,4550,127770,0.5599,0.0947,-0.0031,48760,tax_agent,transport,0,0
61100,4730,1040,990,2980,9740,0.1594,-0.0714,0.2815,2330,tax_agent,finance,0,0
36900,5750,1400,1750,1340,10240,0.2775,0.1924,0.1023,2270,tax_agent,finance,1,0
32965,6690,530,380,1030,8630,0.2618,0.0393,0.0245,1350,self,IT,2,1
54200,5260,260,1660,300,7480,0.138,0.0331,0.0246,3910,self,retail,0,0
89000,8730,80,800,0,9610,0.108,-0.0055,0.0021,280,tax_agent,hospitality,0,0
26300,6180,3550,870,670,11270,0.4285,0.004,-0.1262,1740,self,transport,1,0
71800,20620,7010,3500,3150,34280,0.4774,0.0433,0.2483,11380,self,transport,1,0
41200,11780,3660,2210,700,18350,0.4454,-0.0104,0.0572,4240,tax_agent,transport,0,0
54300,8640,4590,100,70,13400,0.2468,-0.0503,0.1624,4760,tax_agent,real_estate,0,0
154100,38500,740,8670,2710,50620,0.3285,0.0965,0.1562,16210,tax_agent,IT,0,0
125000,21040,4600,430,5770,31840,0.2547,-0.0271,0.1218,13000,self,manufacturing,0,0
107600,17480,2160,2770,4750,27160,0.2524,0.0399,0.0048,11210,tax_agent,healthcare,0,0
102200,15500,410,3170,930,20010,0.1958,0.0475,0.2006,6120,self,IT,1,0
62300,20210,4140,1500,2480,28330,0.4547,0.0409,-0.1062,10720,tax_agent,transport,0,0
70100,8790,920,2020,3500,15230,0.2173,0.1379,0.2495,4830,tax_agent,finance,2,0
30300,6810,120,1050,1450,9430,0.3112,-0.0772,0.145,2130,self,education,0,0
36500,5350,1250,30,1210,7840,0.2148,-0.0995,-0.1009,2160,self,IT,0,0
77200,7530,490,3180,2630,13830,0.1791,-0.0292,-0.1524,4570,tax_agent,retail,1,0
38900,5440,4080,880,670,11070,0.2846,0.0019,-0.1116,2310,self,real_estate,0,0
105200,8210,3960,240,4740,17150,0.163,0.0242,-0.2181,4020,self,retail,1,0
70100,11420,2530,3520,710,18180,0.2593,0.0458,0.0585,4080,tax_agent,healthcare,0,0
61100,13740,420,970,930,16060,0.2628,0.0077,-0.0782,4380,self,IT,2,0
51600,3500,1060,2810,570,7940,0.1539,0.1372,0.1061,2620,tax_agent,retail,0,0
92300,26600,4910,20,3870,35400,0.3835,-0.088,0.0972,9790,tax_agent,construction,0,0
104500,27230,220,6190,1510,35150,0.3364,-0.0023,-0.175,10020,self,IT,3,0
44400,6420,470,460,2220,9570,0.2155,-0.0288,0.0168,1490,tax_agent,finance,3,0
54000,9940,630,410,110,11090,0.2054,0.1895,-0.1217,4150,tax_agent,healthcare,0,0
30708,5760,940,1230,170,8100,0.2638,-0.0094,0.0605,2050,tax_agent,IT,1,1
85900,19480,2860,1360,1490,25190,0.2932,0.2525,-0.2265,9940,self,IT,0,0
85300,4190,2270,2160,250,8870,0.104,0.1325,0.1439,5290,self,hospitality,2,0
68100,9190,90,2620,2960,14860,0.2182,-0.0025,0.1246,5630,tax_agent,retail,0,0
106300,13260,3790,3810,3890,24750,0.2328,-0.0563,0.1891,6720,self,education,4,0
66800,18180,2070,2910,1510,24670,0.3693,0.073,0.2558,8990,tax_agent,manufacturing,0,0
33400,6120,180,360,890,7550,0.226,0.1643,0.0412,1720,self,IT,0,0
150200,34950,19440,1790,3640,59820,0.3983,-0.155,-0.0119,19680,self,construction,3,0
123400,13020,3080,1500,3490,21090,0.1709,-0.0322,0.0305,7430,self,hospitality,1,0
33800,6760,1200,1800,340,10100,0.2988,-0.0675,0.1976,2160,tax_agent,healthcare,0,0
79400,4180,1010,2600,2890,10680,0.1345,0.0551,0.0551,3880,tax_agent,hospitality,3,0
147200,25300,10070,8690,4020,48080,0.3266,0.0651,-0.1082,15540,tax_agent,transport,0,0
60900,14810,1230,2980,2430,21450,0.3522,0.0383,0.0347,8010,tax_agent,manufacturing,0,0
110100,27830,2020,2790,340,32980,0.2995,0.1706,0.1142,9180,tax_agent,manufacturing,1,0
132600,18260,470,6540,6000,31270,0.2358,-0.0083,-0.2627,6930,tax_agent,education,1,0
83400,31570,3840,2470,2830,40710,0.4881,-0.0487,-0.0799,14940,tax_agent,transport,2,0
234000,16510,37000,6190,10290,69990,0.2991,0.154,-0.1496,31130,self,retail,0,1
102900,26740,750,3810,3830,35130,0.3414,-0.0421,-0.1267,12640,self,IT,1,0
76200,12790,10150,2110,2520,27570,0.3618,0.1813,0.1863,8190,tax_agent,IT,1,1
65700,16440,4960,100,1090,22590,0.3438,0.024,0.1763,5800,self,construction,0,0
70200,13380,9440,4060,2810,29690,0.4229,0.0228,0.0399,11310,tax_agent,construction,0,0
52800,15740,4420,2830,1600,24590,0.4657,-0.0003,-0.067,7840,tax_agent,construction,0,0
39000,7840,520,1470,100,9930,0.2546,0.0643,0.0971,2040,tax_agent,healthcare,1,0
43900,8640,890,1140,50,10720,0.2442,-0.0639,0.0793,1270,tax_agent,education,0,0
66600,12630,7720,2550,2990,25890,0.3887,0.008,-0.0268,7440,tax_agent,real_estate,0,0
112000,10680,2720,280,860,14540,0.1298,0.194,0.0045,2610,self,finance,1,0
86200,64300,1560,1570,1030,68460,0.7942,0.1149,0.7578,21380,tax_agent,hospitality,1,1
79000,8200,2340,4660,800,16000,0.2025,0.0937,0.103,4130,self,hospitality,0,0
231100,46900,9040,13700,8080,77720,0.3363,0.1231,0.0879,37510,self,transport,4,0
181700,12680,7220,1020,8050,28970,0.1594,0.2103,0.0793,19830,tax_agent,retail,1,0
43600,10060,5500,1260,1080,17900,0.4106,0.0926,-0.0317,3400,self,real_estate,2,0
106100,40970,8760,5660,2590,57980,0.5465,0.1262,0.0388,16810,tax_agent,transport,0,0
37500,8760,5200,1750,300,16010,0.4269,0.1809,-0.0393,3430,tax_agent,transport,0,0
83400,21920,6520,1810,2410,32660,0.3916,0.05,0.1736,9680,self,real_estate,2,0
33800,6020,680,640,160,7500,0.2219,-0.163,0.1056,1800,tax_agent,IT,0,0
51600,5110,530,2570,2520,10730,0.2079,-0.0775,-0.0833,4400,tax_agent,finance,3,0
101500,29410,4470,260,3910,38050,0.3749,0.0316,0.0035,13090,self,real_estate,1,0
56100,6420,2060,3300,1120,12900,0.2299,-0.0181,-0.1331,4910,tax_agent,finance,0,0
39800,3300,280,600,780,4960,0.1246,0.0567,0.3167,1040,tax_agent,hospitality,1,0
49300,14230,2010,2630,2370,21240,0.4308,0.1368,-0.075,8290,tax_agent,construction,3,0
42800,12670,3080,1890,1030,18670,0.4362,-0.0056,0.1697,4030,tax_agent,construction,1,0
90300,10170,890,4160,2970,18190,0.2014,-0.1168,-0.13,3820,self,finance,3,0
139500,45170,19050,1380,4690,70290,0.5039,0.0138,0.1439,27000,self,construction,0,0
64600,13830,510,2290,3020,19650,0.3042,0.0162,-0.012,7610,tax_agent,manufacturing,0,0
126800,32280,16470,710,1310,50770,0.4004,0.1388,-0.0671,17560,tax_agent,construction,2,0
52500,15040,6680,1470,2500,25690,0.4893,-0.0637,-0.0139,8790,self,transport,4,0
68100,7950,340,2600,2130,13020,0.1912,0.0441,0.0254,2310,tax_agent,education,1,0
192100,30820,5580,10740,6280,53420,0.2781,0.0053,0.1776,27520,tax_agent,manufacturing,2,0
65300,8850,1840,2170,2650,15510,0.2375,0.1953,-0.0539,6960,self,retail,0,0
129700,23590,17340,6880,5930,53740,0.4143,0.0587,-0.0584,20630,self,construction,1,0
48500,13790,3830,1080,980,19680,0.4058,-0.1251,0.2197,5320,tax_agent,construction,0,0
71200,11710,770,2680,420,15580,0.2188,0.0591,-0.0244,3470,self,IT,1,0
44900,8200,1640,1580,760,12180,0.2713,0.3268,-0.0277,2730,self,manufacturing,0,0
74700,18110,420,990,3020,22540,0.3017,-0.0292,0.0957,9220,tax_agent,manufacturing,1,0
48270,4720,700,2660,350,8430,0.1746,0.0005,0.1671,4260,self,retail,0,1
109200,16470,670,910,3350,21400,0.196,0.0422,0.0304,4940,self,finance,2,0
52400,10050,740,2650,750,14190,0.2708,-0.0219,0.0633,4830,self,healthcare,0,0
65700,8120,20,1770,1820,11730,0.1785,0.0812,0.2694,2340,tax_agent,finance,0,0
138400,23600,2960,4100,6370,37030,0.2676,0.0755,0.0777,10700,tax_agent,IT,0,0
37000,9120,1290,1010,820,12240,0.3308,0.0974,0.1602,1810,tax_agent,education,1,0
18500,2880,570,740,410,4600,0.2486,0.0198,-0.2576,750,self,IT,0,0
50300,12480,6860,2930,2400,24670,0.4905,0.0161,0.0417,6580,tax_agent,real_estate,1,0
100700,30840,8440,2050,2570,43900,0.4359,0.0177,0.0276,16430,tax_agent,construction,0,0
75400,12340,21450,4440,2930,41160,0.5459,-0.0639,-0.0991,14720,self,education,0,1
42600,7780,480,700,1310,10270,0.2411,0.1989,0.0513,1580,self,healthcare,0,0
74900,9660,2690,1860,1460,15670,0.2092,-0.0181,0.0324,4140,self,healthcare,0,0
58900,7750,70,1120,1610,10550,0.1791,0.1883,-0.003,4110,tax_agent,healthcare,0,0
30400,4300,830,1430,1060,7620,0.2507,0.2847,0.1224,1600,self,IT,1,0
59700,7550,1700,3570,1050,13870,0.2323,-0.0456,0.0035,5880,tax_agent,healthcare,1,0
108400,25470,13790,5880,2630,47770,0.4407,-0.0111,0.1239,17730,tax_agent,transport,2,0
61800,14160,3640,1120,800,19720,0.3191,-0.0159,0.2403,7930,self,real_estate,2,0
31300,4880,4230,1060,180,10350,0.3307,0.0518,0.1157,2270,self,real_estate,0,0
186000,50000,4800,6370,1290,62460,0.3358,0.0109,0.2762,35790,self,IT,0,0
41700,4980,1010,2160,880,9030,0.2165,0.0165,0.3074,1190,self,healthcare,4,0
52120,13670,4480,2300,1170,21620,0.4148,0.1943,-0.0804,7090,self,construction,1,1
114000,18330,990,5130,5350,29800,0.2614,-0.0336,0.1085,11190,tax_agent,education,2,0
90800,11020,1190,3460,2580,18250,0.201,0.038,0.1673,4410,tax_agent,manufacturing,2,0
63400,17660,2100,3140,1200,24100,0.3801,0.0095,0.0412,9300,tax_agent,manufacturing,1,0
26500,2670,440,730,10,3850,0.1453,0.1905,0.0039,500,tax_agent,retail,2,0
137200,16890,4830,3970,6310,32000,0.2332,0.1476,0.0928,11730,tax_agent,retail,0,0
37900,4460,1190,1620,1680,8950,0.2361,0.0318,0.0423,1330,self,finance,0,0
122900,27110,1600,5560,5580,39850,0.3242,0.0745,0.1856,13030,tax_agent,education,1,0
132600,27880,4220,6170,4870,43140,0.3253,0.1285,-0.0988,18860,tax_agent,manufacturing,3,0
36800,16310,610,20,870,17810,0.484,-0.0325,1.0084,2720,tax_agent,education,2,1
36500,3430,260,1920,1700,7310,0.2003,0.0184,0.2008,1630,self,retail,1,0
58000,6810,2150,1530,1520,12010,0.2071,-0.0018,0.0898,4800,tax_agent,retail,0,0
119400,22620,2650,40,1480,26790,0.2244,-0.1022,0.0571,9210,tax_agent,healthcare,0,0
51800,6910,1520,2510,1540,12480,0.2409,0.0468,0.0883,2560,self,retail,0,0
75800,5520,1130,1210,2870,10730,0.1416,0.0652,0.105,3610,tax_agent,hospitality,2,0
54600,11260,1750,1460,1830,16300,0.2985,-0.0112,-0.0235,4810,tax_agent,healthcare,0,0
110900,20780,1810,1620,1960,26170,0.236,0.1169,-0.1054,8610,tax_agent,IT,2,0
50800,5050,470,2220,470,8210,0.1616,0.0983,0.0884,1550,tax_agent,retail,1,0
48400,6010,1870,1030,1310,10220,0.2112,-0.1531,0.066,4520,self,healthcare,1,0
40800,10600,1440,2160,1100,15300,0.375,0.2615,-0.131,2590,self,construction,1,0
40100,4340,1580,2080,870,8870,0.2212,0.0519,-0.0973,1060,self,education,1,0
129300,25520,9660,6530,4360,46070,0.3563,0.118,0.0632,20710,tax_agent,construction,3,0
59100,7050,2230,410,2430,12120,0.2051,0.0655,-0.0357,5410,tax_agent,retail,0,0
42700,3130,1510,1860,1510,8010,0.1876,0.0872,0.1136,1750,tax_agent,hospitality,1,0
28700,6660,1920,1110,200,9890,0.3446,-0.0498,0.1474,1930,self,transport,2,0
62000,17160,2330,2860,2240,24590,0.3966,0.1599,-0.0286,8190,self,manufacturing,0,0
45800,14470,7320,4970,1080,27840,0.6079,-0.0415,0.4709,9370,self,retail,0,1
41300,9180,5460,780,800,16220,0.3927,0.2137,0.2501,2940,tax_agent,transport,1,0
47000,12640,940,10220,710,24510,0.5215,-0.1819,0.0803,8810,tax_agent,IT,4,1
77000,12650,2480,4440,3760,23330,0.303,-0.065,-0.1115,6320,tax_agent,healthcare,4,0
38000,2650,640,90,1710,5090,0.1339,-0.0714,0.0702,1510,self,retail,0,0
60800,5150,1850,2450,1890,11340,0.1865,0.1009,0.0244,1900,tax_agent,finance,1,0
117200,8710,1840,3760,2990,17300,0.1476,-0.058,-0.1465,1990,self,hospitality,1,0
53100,6840,900,490,1800,10030,0.1889,0.0312,0.0183,3450,self,finance,3,0
40100,8660,1110,1260,700,11730,0.2925,0.1246,0.1464,1640,self,education,0,0
128600,27960,770,7680,5090,41500,0.3227,-0.1466,-0.1062,16700,self,manufacturing,1,0
68600,14340,2100,3820,2800,23060,0.3362,0.0038,0.1859,6540,tax_agent,healthcare,1,0
65400,17690,290,1700,2600,22280,0.3407,0.0646,0.1541,7540,tax_agent,manufacturing,3,0
95900,6940,1010,5300,4710,17960,0.1873,-0.0441,0.2534,7230,tax_agent,hospitality,1,0
68700,5820,780,730,990,8320,0.1211,0.059,-0.01,4150,tax_agent,hospitality,1,0
74800,7290,2820,4010,3480,17600,0.2353,0.1752,0.2119,4380,self,hospitality,0,0
30300,3830,1060,420,1270,6580,0.2172,0.1201,-0.1382,1110,tax_agent,healthcare,3,0
45400,6870,710,1700,350,9630,0.2121,0.073,-0.0817,1750,tax_agent,IT,2,0
200500,54290,9430,1620,2080,67420,0.3363,0.0094,0.0326,30820,self,transport,0,0
40600,12180,4850,1340,470,18840,0.464,0.1839,0.1581,3860,tax_agent,transport,0,0
74800,14940,1870,1080,440,18330,0.2451,-0.0167,0.0854,6490,self,education,0,0
187700,32230,2380,8200,5150,47960,0.2555,-0.0894,-0.1567,24710,tax_agent,healthcare,0,0
105000,14160,870,810,4590,20430,0.1946,-0.0426,0.0263,8730,tax_agent,retail,2,0
84500,11520,1660,2220,400,15800,0.187,0.078,0.0517,6070,tax_agent,finance,2,0
46300,12420,140,410,1820,14790,0.3194,0.0875,0.0884,3730,tax_agent,IT,1,0
51100,5180,1520,450,2100,9250,0.181,-0.0764,-0.1283,3720,tax_agent,hospitality,2,0
60700,13730,2950,170,2390,19240,0.317,0.0034,-0.1349,7460,tax_agent,transport,0,0
86700,17990,920,1170,440,20520,0.2367,0.1524,0.1376,3930,tax_agent,IT,1,0
145000,32920,5520,7890,5460,51790,0.3572,0.2533,-0.0735,15770,tax_agent,education,1,0
76800,8010,1080,820,350,10260,0.1336,-0.0763,-0.0512,2430,tax_agent,finance,3,0
52600,5720,1440,1270,2380,10810,0.2055,0.1553,0.007,4610,tax_agent,retail,0,0
68300,15030,990,1290,3110,20420,0.299,-0.0103,0.0663,6620,self,education,0,0
95900,24000,9370,5690,2330,41390,0.4316,0.0629,-0.0677,12260,tax_agent,construction,3,0
86700,10310,290,4110,1620,16330,0.1884,0.1846,0.0564,7910,tax_agent,retail,0,0
62800,11840,2080,3130,1220,18270,0.2909,0.0888,0.0589,4410,tax_agent,education,0,0
38900,9390,1290,410,1570,12660,0.3254,0.0868,-0.0432,2310,self,IT,4,0
130200,22370,5770,3090,4350,35580,0.2733,-0.0623,-0.0581,9890,tax_agent,construction,4,0
62300,25940,7320,4880,2390,40530,0.6506,0.202,0.5575,14670,self,education,3,1
82400,13160,8630,1520,1210,24520,0.2976,0.0063,-0.2092,9840,tax_agent,construction,0,0
49600,11200,470,1690,1560,14920,0.3008,0.0999,0.0888,5500,tax_agent,IT,1,0
48900,11240,1880,1990,800,15910,0.3254,-0.2431,0.126,6200,tax_agent,IT,1,0
94700,6340,3630,5180,4500,19650,0.2075,-0.0071,-0.0357,9230,self,retail,2,0
35900,6740,1020,1430,770,9960,0.2774,-0.0897,0.2531,2400,self,healthcare,2,0
38000,8030,960,150,150,9290,0.2445,-0.0225,0.108,1970,self,manufacturing,3,0
165100,42960,4800,7950,1250,56960,0.345,-0.0436,0.1982,15170,tax_agent,IT,1,0
113400,14490,2110,4670,550,21820,0.1924,0.0025,0.0932,4290,tax_agent,IT,0,0
90500,11990,20,480,3050,15540,0.1717,-0.0723,-0.1366,7260,tax_agent,finance,1,0
39900,2260,460,670,850,4240,0.1063,-0.0443,0.1057,690,tax_agent,hospitality,1,0
81300,11540,5320,410,2480,19750,0.2429,0.1862,0.1741,6580,tax_agent,real_estate,0,0
69100,5870,1650,1590,3320,12430,0.1799,-0.0094,-0.0531,2580,self,retail,0,0
56500,17830,2390,650,2000,22870,0.4048,0.0738,-0.1013,7280,tax_agent,transport,0,0
68500,15450,590,2800,1610,20450,0.2985,0.0424,0.1642,8340,self,education,0,0
32800,7140,730,310,320,8500,0.2591,-0.0055,0.0739,1450,self,IT,0,0
23100,2270,290,1160,350,4070,0.1762,-0.0098,0.0733,620,tax_agent,retail,0,0
84800,17350,7120,4510,1730,30710,0.3621,0.0885,0.1973,8100,self,construction,4,0
78700,16610,1620,170,2640,21040,0.2673,-0.0502,0.1519,9060,tax_agent,manufacturing,2,0
82700,19990,4120,680,280,25070,0.3031,0.0361,-0.2305,8540,tax_agent,real_estate,2,0
109900,13090,4080,400,360,17930,0.1631,-0.0005,-0.0152,3450,tax_agent,education,1,0
95400,26120,2350,2020,1650,32140,0.3369,-0.0915,-0.1467,11330,tax_agent,manufacturing,2,0
162900,15310,2880,8540,4590,31320,0.1923,-0.0509,0.0504,11360,self,retail,2,0
137700,75190,610,3880,4120,83800,0.6086,0.0629,1.0571,33060,tax_agent,finance,0,1
74400,8020,1670,4220,2320,16230,0.2181,0.0806,0.2265,5360,self,hospitality,0,0
78500,8900,110,680,2900,12590,0.1604,0.0253,-0.0232,2830,tax_agent,retail,2,0
81500,9090,1230,1810,3670,15800,0.1939,0.0274,0.1991,6720,tax_agent,finance,2,0
31000,6620,950,970,800,9340,0.3013,-0.0881,0.0149,1230,tax_agent,IT,0,0
119400,18030,1740,1790,980,22540,0.1888,0.0687,-0.1748,10800,self,healthcare,1,0
99300,8730,16060,2330,1230,28350,0.2855,0.0441,0.0138,11130,self,retail,0,1
28900,2020,800,1440,760,5020,0.1737,-0.0955,0.0172,1340,tax_agent,retail,2,0
168800,41590,1710,8640,2250,54190,0.321,0.0942,-0.0249,13880,self,IT,0,0
56900,11120,380,1480,1230,14210,0.2497,-0.0152,0.282,3480,self,healthcare,4,0
67200,7360,1390,3370,1870,13990,0.2082,0.1592,-0.0156,6030,tax_agent,education,3,0
66500,15300,8580,60,2680,26620,0.4003,0.0922,0.0851,10200,self,transport,1,0
65500,11350,290,2940,2390,16970,0.2591,-0.0786,0.1332,7060,tax_agent,healthcare,0,0
268700,35570,10410,6240,10460,62680,0.2333,0.1446,0.0256,30150,tax_agent,retail,1,0
62400,19790,4560,3740,1200,29290,0.4694,0.0238,0.1594,11240,self,transport,1,0
60200,11630,5230,3510,2660,23030,0.3826,0.0052,0.2155,7130,tax_agent,transport,2,0
72800,19400,3010,3050,2520,27980,0.3843,0.1066,0.0584,7760,tax_agent,construction,3,0
45200,5010,1640,160,450,7260,0.1606,0.0003,0.0369,1510,tax_agent,hospitality,2,0
84500,24040,3670,1530,3000,32240,0.3815,0.1161,0.0538,8460,tax_agent,transport,0,0
45800,5650,780,860,580,7870,0.1718,-0.1609,-0.0584,1650,tax_agent,retail,1,0
94800,35610,12470,1040,1580,50700,0.5348,-0.0916,-0.1775,14810,self,transport,3,0
40600,9870,1990,1250,1710,14820,0.365,0.1197,-0.0369,2720,self,transport,0,0
52100,12570,170,1070,2240,16050,0.3081,-0.0288,0.0862,6200,tax_agent,IT,4,0
41400,11180,10250,1590,780,23800,0.5749,0.0092,0.058,5280,tax_agent,IT,4,1
53700,16920,1980,1000,1650,21550,0.4013,0.0134,0.1523,7260,tax_agent,transport,2,0
27000,5150,80,1470,730,7430,0.2752,0.1629,0.2831,1210,self,manufacturing,0,0
18800,2430,340,140,530,3440,0.183,-0.1352,-0.0357,910,self,IT,0,0
60300,3720,430,3010,860,8020,0.133,0.0824,-0.0105,910,tax_agent,hospitality,0,0
30900,10930,3110,920,1410,16370,0.5298,-0.0345,0.0067,3370,tax_agent,transport,2,0
186800,11380,7200,8260,1520,28360,0.1518,0.1989,0.0042,16000,self,hospitality,1,0
59100,14170,370,2710,810,18060,0.3056,0.1163,0.1948,6610,self,manufacturing,0,0
106300,10650,2590,4550,5190,22980,0.2162,0.0273,-0.0969,7830,self,healthcare,1,0
85300,12660,2230,1960,3940,20790,0.2437,0.0054,0.0348,5460,tax_agent,healthcare,1,0
40100,18680,590,2350,1880,23500,0.586,0.1148,0.698,4820,tax_agent,IT,0,1
57100,8540,400,60,870,9870,0.1729,-0.1463,-0.0635,1560,self,finance,0,0
108200,26420,3720,1440,3390,34970,0.3232,0.1645,0.1524,8200,tax_agent,IT,2,0
104400,8580,3750,2510,4690,19530,0.1871,-0.0122,0.1817,5110,self,hospitality,3,0
116000,19200,1170,6710,190,27270,0.2351,-0.0246,-0.0666,6000,self,manufacturing,1,0
50200,5520,1950,1640,980,10090,0.201,-0.036,0.0213,3390,self,retail,1,0
99300,28660,12530,4040,4030,49260,0.4961,0.0165,-0.0793,18970,tax_agent,transport,4,0
51600,9480,930,2720,1600,14730,0.2855,-0.1049,-0.0654,4610,tax_agent,healthcare,2,0
125500,15290,430,6640,380,22740,0.1812,0.044,0.1252,7220,self,finance,3,0
123400,43850,16500,20730,2700,83780,0.6789,0.1181,-0.1231,32340,tax_agent,construction,2,1
33800,4460,210,300,1440,6410,0.1896,-0.0838,0.1416,1130,self,finance,1,0
83800,11160,1860,510,1750,15280,0.1823,0.182,-0.1218,5870,tax_agent,finance,0,0
39400,13510,2260,1840,1130,18740,0.4756,0.1322,-0.1996,3060,self,transport,1,0
113500,25180,1120,330,5410,32040,0.2823,-0.0826,0.1381,12470,tax_agent,IT,2,0
38700,3380,90,2120,1130,6720,0.1736,0.1222,-0.1636,800,tax_agent,retail,2,0
86000,29370,7790,3630,270,41060,0.4774,-0.0467,-0.0269,14070,tax_agent,construction,0,0
108100,15510,1670,1490,380,19050,0.1762,0.127,-0.0688,8600,self,healthcare,0,0
